新闻标题,新闻链接,新闻日期,状态
再造“梅西”，蛇打七寸！恩里克给阿尔特塔上了一堂战术课！,https://news.zhibo8.com/zuqiu/2025-04-30/6811521a4daecnative.htm,2025-04-30,
詹俊晒梅西2009年欧冠决赛头球破门照片：当年你们惊呆了么？,https://news.zhibo8.com/zuqiu/2025-05-23/68305cee92788native.htm,2025-05-23,已发送
陕旅集团：阿根廷国会议员到访，推动阿根廷国家队等比赛落地西安,https://news.zhibo8.com/zuqiu/2025-05-24/6831313082c62native.htm,2025-05-24,已发送
小马哥：不仅仅是梅西我会和很多球员交流；教练要相信自己的打法,https://news.zhibo8.com/zuqiu/2025-05-24/68309d8488599native.htm,2025-05-24,已发送
魔笛联手梅西？世体：迈阿密国际有意免签莫德里奇 年薪250万美元,https://news.zhibo8.com/zuqiu/2025-05-23/68307b1c3c3a9native.htm,2025-05-23,已发送
马斯切拉诺：我没有参与谈判，不知道梅西在俱乐部的未来,https://news.zhibo8.com/zuqiu/2025-05-23/683078c2eb18bnative.htm,2025-05-23,已发送
每体：亚马尔取关了梅西，两人并无交集但相遇终会到来,https://news.zhibo8.com/zuqiu/2025-05-23/6830195476b98native.htm,2025-05-23,已发送
梅西选职业生涯最喜欢的进球：2009年欧冠决赛对阵曼联的头球破门,https://news.zhibo8.com/zuqiu/2025-05-23/682fc531c0b5bnative.htm,2025-05-23,已发送
跟队记者：梅西昨天参加了团队训练，没有任何问题,https://news.zhibo8.com/zuqiu/2025-05-22/682edcd5d79a7native.htm,2025-05-22,
赫罗纳主帅：亚马尔有纯粹的天赋，他让我想起了梅西、马拉多纳,https://news.zhibo8.com/zuqiu/2025-05-22/682edb5e7cb53native.htm,2025-05-22,
前美国脚：梅西说美职联应审视裁判问题？他在找借口&对球队沮丧,https://news.zhibo8.com/zuqiu/2025-05-22/682ececab8129native.htm,2025-05-22,
记者：美职联公布本周处罚，梅西没因赛后染黄及谈裁判言论被罚款,https://news.zhibo8.com/zuqiu/2025-05-21/682d4fcec07a3native.htm,2025-05-21,
纽维尔老男孩主席：一直希望梅西能重返俱乐部，哪怕只是一场比赛,https://news.zhibo8.com/zuqiu/2025-05-21/682d33860c922native.htm,2025-05-21,
14-15赛季来西甲单赛季盘带榜：前三均为梅西，最高307次,https://news.zhibo8.com/zuqiu/2025-05-21/682cdb4433cc6native.htm,2025-05-21,
厄德高谈年少足球偶像：有段时间梅西，有段时间C罗，还有D席小法,https://news.zhibo8.com/zuqiu/2025-05-20/682c8624a69f7native.htm,2025-05-20,
🔟亚马尔准备接棒！巴萨10号演变史：小罗→梅西→法蒂→亚马尔,https://news.zhibo8.com/zuqiu/2025-05-20/682c5a021a0a9native.htm,2025-05-20,
问就是梅西🤣瓜帅：共事过传球最好的是梅西，德布劳内排第二,https://news.zhibo8.com/zuqiu/2025-05-20/682bd3068f667native.htm,2025-05-20,
记者：梅西的续约谈判非常复杂，迈阿密管理层希望获得部分决策权,https://news.zhibo8.com/zuqiu/2025-05-20/682bcf2f7f1dfnative.htm,2025-05-20,
迈阿密国际vs费城联合首发：梅西、苏牙、阿尔巴、布斯克茨先发,https://news.zhibo8.com/zuqiu/2025-05-25/6831e365da94enative.htm,2025-05-25,已发送
因凡蒂诺：希望梅西踢2030年世界杯 只要还想踢我们随时敞开大门,https://news.zhibo8.com/zuqiu/2025-05-25/6832319406f06native.htm,2025-05-25,已发送
近20年欧洲金靴：梅西100分&92分 C罗96分 今年姆巴佩62分夺魁,https://news.zhibo8.com/zuqiu/2025-05-26/68338656ea7cdnative.htm,2025-05-26,已发送
近20年欧洲金靴：梅西100分&92分 C罗96分 今年姆巴佩暂62分领跑,https://news.zhibo8.com/zuqiu/2025-05-25/6832c5d1a6897native.htm,2025-05-25,已发送
刻在DNA里的默契👬梅西任意球打近角，苏牙在门将身前阻挡视野,https://news.zhibo8.com/zuqiu/2025-05-25/683279132a92dnative.htm,2025-05-25,已发送
梅西全场数据：评分7.6队内最高，3射门2射正，成功过人4次,https://news.zhibo8.com/zuqiu/2025-05-25/683277255884bnative.htm,2025-05-25,已发送
梅罗当前进球数：C罗1278场935球，梅西1101场861球,https://news.zhibo8.com/zuqiu/2025-05-25/683275b45167enative.htm,2025-05-25,已发送
